Label,TagSet,AssetType,Asset,AssetParent,City,Building,Wing,Floor,Room,Zone
421_U2_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U2,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U2,NA
421_U2_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U2,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U2,NA
421_U2_FCU_FAULT,FCU_Fault_Sensor,FCU,U2,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U2,NA
421_U2_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U2,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U2,NA
421_U2_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U2,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U2,NA
421_U2_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U2,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U2,NA
421_U3_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U3,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U3,NA
421_U3_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U3,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U3,NA
421_U3_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U3,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U3,NA
421_U3_FCU_FAULT,FCU_Fault_Sensor,FCU,U3,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U3,NA
421_U3_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U3,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U3,NA
421_U3_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U3,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U3,NA
421_U3_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U3,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U3,NA
421_U4_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U4,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U4,NA
421_U4_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U4,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U4,NA
421_U4_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U4,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U4,NA
421_U4_FCU_FAULT,FCU_Fault_Sensor,FCU,U4,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U4,NA
421_U4_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U4,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U4,NA
421_U4_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U4,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U4,NA
421_U4_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U4,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U4,NA
421_U5_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U5,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U5,NA
421_U5_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U5,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U5,NA
421_U5_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U5,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U5,NA
421_U5_FCU_FAULT,FCU_Fault_Sensor,FCU,U5,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U5,NA
421_U5_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U5,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U5,NA
421_U5_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U5,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U5,NA
421_U5_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U5,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U5,NA
421_U6_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U6,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U6,NA
421_U6_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U6,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U6,NA
421_U6_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U6,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U6,NA
421_U6_FCU_FAULT,FCU_Fault_Sensor,FCU,U6,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U6,NA
421_U6_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U6,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U6,NA
421_U6_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U6,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U6,NA
421_U6_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U6,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U6,NA
421_U7_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U7,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U7,NA
421_U7_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U7,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U7,NA
421_U7_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U7,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U7,NA
421_U7_FCU_FAULT,FCU_Fault_Sensor,FCU,U7,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U7,NA
421_U7_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U7,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U7,NA
421_U7_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U7,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U7,NA
421_U7_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U7,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U7,NA
421_U8_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U8,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U8,NA
421_U8_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U8,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U8,NA
421_U8_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U8,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U8,NA
421_U8_FCU_FAULT,FCU_Fault_Sensor,FCU,U8,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U8,NA
421_U8_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U8,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U8,NA
421_U8_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U8,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U8,NA
421_U8_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U8,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U8,NA
421_U9_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U9,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U9,NA
421_U9_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U9,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U9,NA
421_U9_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U9,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U9,NA
421_U9_FCU_FAULT,FCU_Fault_Sensor,FCU,U9,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U9,NA
421_U9_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U9,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U9,NA
421_U9_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U9,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U9,NA
421_U9_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U9,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U9,NA
42G_U10_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U10,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U10,NA
42G_U10_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U10,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U10,NA
42G_U10_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U10,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U10,NA
42G_U10_FCU_FAULT,FCU_Fault_Sensor,FCU,U10,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U10,NA
42G_U10_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U10,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U10,NA
42G_U10_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U10,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U10,NA
42G_U10_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U10,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U10,NA
42G_U11_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U11,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U11,NA
42G_U11_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U11,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U11,NA
42G_U11_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U11,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U11,NA
42G_U11_FCU_FAULT,FCU_Fault_Sensor,FCU,U11,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U11,NA
42G_U11_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U11,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U11,NA
42G_U11_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U11,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U11,NA
42G_U11_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U11,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U11,NA
42G_U12_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U12,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U12,NA
42G_U12_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U12,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U12,NA
42G_U12_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U12,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U12,NA
42G_U12_FCU_FAULT,FCU_Fault_Sensor,FCU,U12,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U12,NA
42G_U12_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U12,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U12,NA
42G_U12_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U12,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U12,NA
42G_U12_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U12,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U12,NA
42G_U13_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U13,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U13,NA
42G_U13_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U13,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U13,NA
42G_U13_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U13,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U13,NA
42G_U13_FCU_FAULT,FCU_Fault_Sensor,FCU,U13,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U13,NA
42G_U13_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U13,,Dublin,B3,SOR42,GroundFloor,SOR42_G_U13,NA
