Note,Contains haystack tags and custom tags
EBU3B.RM-1139..COMMONSP,zone air temp sp
EBU3B.RM-1139..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1139..ZN-T,zone air temp sensor
EBU3B.RM-1144..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1144..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1144..CLGPID-O,zone cooling cmd
EBU3B.RM-1144..DPR-C,discharge air damper cmd
EBU3B.RM-1144..DMPR-POS,discharge air damper sensor
EBU3B.RM-1144..HTGPID-O,zone heating cmd
EBU3B.RM-1144..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1144..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1144..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1144..OCC-CMD,zone occupied cmd
EBU3B.RM-1144..RH-VLV,reheat valve cmd
EBU3B.RM-1144..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1144..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1144..COMMONSP,zone air temp sp
EBU3B.RM-1144..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1144..ZN-T,zone air temp sensor
EBU3B.RM-1145..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1145..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1145..CLGPID-O,zone cooling cmd
EBU3B.RM-1145..DPR-C,discharge air damper cmd
EBU3B.RM-1145..DMPR-POS,discharge air damper sensor
EBU3B.RM-1145..HTGPID-O,zone heating cmd
EBU3B.RM-1145..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1145..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1145..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1145..OCC-CMD,zone occupied cmd
EBU3B.RM-1145..RH-VLV,reheat valve cmd
EBU3B.RM-1145..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1145..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1145..COMMONSP,zone air temp sp
EBU3B.RM-1145..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1145..ZN-T,zone air temp sensor
EBU3B.RM-1150..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1150..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1150..CLGPID-O,zone cooling cmd
EBU3B.RM-1150..DPR-C,discharge air damper cmd
EBU3B.RM-1150..DMPR-POS,discharge air damper sensor
EBU3B.RM-1150..HTGPID-O,zone heating cmd
EBU3B.RM-1150..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1150..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1150..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1150..OCC-CMD,zone occupied cmd
EBU3B.RM-1150..RH-VLV,reheat valve cmd
EBU3B.RM-1150..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1150..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1150..COMMONSP,zone air temp sp
EBU3B.RM-1150..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1150..ZN-T,zone air temp sensor
EBU3B.RM-1151..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1151..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1151..CLGPID-O,zone cooling cmd
EBU3B.RM-1151..DPR-C,discharge air damper cmd
EBU3B.RM-1151..DMPR-POS,discharge air damper sensor
EBU3B.RM-1151..HTGPID-O,zone heating cmd
EBU3B.RM-1151..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1151..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1151..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1151..OCC-CMD,zone occupied cmd
EBU3B.RM-1151..RH-VLV,reheat valve cmd
EBU3B.RM-1151..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1151..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1151..COMMONSP,zone air temp sp
EBU3B.RM-1151..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1151..ZN-T,zone air temp sensor
EBU3B.RM-1154..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-1154..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-1154..CLGPID-O,zone cooling cmd
EBU3B.RM-1154..DPR-C,discharge air damper cmd
EBU3B.RM-1154..DMPR-POS,discharge air damper sensor
EBU3B.RM-1154..HTGPID-O,zone heating cmd
EBU3B.RM-1154..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-1154..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-1154..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-1154..OCC-CMD,zone occupied cmd
EBU3B.RM-1154..RH-VLV,reheat valve cmd
EBU3B.RM-1154..SUP-FLOW,discharge air flow sensor
EBU3B.RM-1154..SUPFLO-SP,discharge air flow sp
EBU3B.RM-1154..COMMONSP,zone air temp sp
EBU3B.RM-1154..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-1154..ZN-T,zone air temp sensor
EBU3B.RM-1155..ACTCLGSP,zone air temp effective min sp
