Domain,TagSet,Definition,hasSynonym,hasUnit,hasAbbreviation,Highest Superclass,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Fan,,Supply Fan,,,Equipment,,,Jason,,,Supply Air Fan ? Flow?,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Flow Demand,,,,,Point,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Cooling Demand High,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Cooling Demand Low,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Flow Reset High Sensor,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Discharge Air Flow Reset Low Sensor,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Cooling Discharge Air Temperature Dead Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Cooling Discharge Air Temperature Proportional Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Cooling Discharge Air Temperature Integral Time,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Heating Discharge Air Temperature Dead Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Heating Discharge Air Temperature Proportional Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Heating Discharge Air Temperature Integral Time,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Fan Start Stop Status,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Fan Air Flow,,Fan Air Flow Sensor,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Exhaust Air Damper,,,,,Equipment,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
